Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Thackeray,2019,120,"Biography, Drama",5.2,"3,005",Abhijit Panse,Nawazuddin Siddiqui,Amrita Rao,Radha Sagar,31,23.83
Tevar,2015,157,Action,4,"3,014",Amit Ravindernath Sharma,Arjun Kapoor,Sonakshi Sinha,Manoj Bajpayee,56,57
Tees Maar Khan,2010,135,Comedy,2.6,"11,981",Farah Khan,Akshay Kumar,Katrina Kaif,Akshaye Khanna,45,100
Tashan,2008,120,Action,3.9,"5,037",Vijay Krishna Acharya,Akshay Kumar,Saif Ali Khan,Kareena Kapoor,31,33
Tanhaji: The Unsung Warrior,2020,135,Biography,7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,150,368
Thalaivi,2021,153,Drama,6.3,"30,399",Vijay A L,Arvind Swamy,Kangana Ranaut,Raj Arjun,60,83
Helmet,2021,104,Comedy,6.8,"3,141",Satram Ramani,Pranutan Bahl,Arunita Jha,Aparshakti Khurana,4,#VALUE!
Antim:The final Thruth,2021,150,Action,7.2,"54,019",Mahesh Manjrekar,Salman Khan,Aayush Sharma,Mahima Makwana,48,58
Atrangi Re,2021,150,Drama,6.7,"23,247",Anand L Rai,Dhanush,Sara Ali Khan,Akshay Kumar,40,100
Pushpa,2021,179,Action,8,"4,79,997",Sukumar,Allu Arjun,Rashmika Mandanna,Samantha Ruth Prabhu,250,365
Sooryavanshi,2021,145,Action,6.6,"1,60,446",Rohit Shetty,Akshay Kumar,Katrina Kaif,Jackie Shroff,160,294.17
83,2021,165,Sport,7.4,"27,958",Kabir Khan,Ranveer Singh,Deepika Padukone,Hardy Sandhu,280,193.73
Chandigarh Kare Ashique,2021,120,Drama,7,"21,665",Abhishek Kapoor,Ayushmann Khurrana,Vaani Kapoor,Abhishek Bajaj,69,38.57
Tadap,2021,126,Romance,5.7,"3,985",Milan Luthria,Suniel Shetty,Ahan Shetty,Tara Sutaria,23,34.96
Dhamaka,2021,104,Thriller,7.7,"39,288",Ram Madhvani,Kartik Aaryan,Amruta Subhash,Mrunal Thakur,30,35
Haal-e-Dil,2008,124,Drama,3.4,240,Anil Devgan,Nakuul Mehta,Amita Pathak,Adhyayan Suman,6,1.5
Haat - The Weekly Bazaar,2011,102,Drama,5.7,14,Seema Kapoor,Mukesh Tiwari,Divya Dutta,Archana Puran Singh,1.5,3.49
Haathi Mere Saathi,2021,126,Drama,,,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat,25,0.02
Haatim Tai,1990,125,Drama,5.8,314,Babubhai Mistry,Jeetendra,Sangeeta Bijlani,Sonu Walia,1.9,0.5495
Hadh Kar Di Aapne,2000,134,Comedy,5.3,"1,754",Manoj Agrawal,Govinda,Rani Mukerji,Johnny Lever,8,3.9
Haggada Kone: End of the Rope,2014,102,Drama,8.4,52,Dayal Padmanabhan,Naveen Krishna,Suchendra Prasad,Mohan,0.22,33
Haider,2014,160,Action,8.1,"51,354",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,35,2.3
Hair is Falling: A Serious Comedy Film,2011,120,Comedy,5.3,31,Vicky Bhardwaj,Rajesh Bhardwaj,Sanjana Tiwari,Priyanka,0.1,3.8
Half Dracula,2021,100,Mystery,,,Vickram,Amit Kumar Vashisth,Toofan Verma,,0.015,0.12
Half Songs,2021,79,Romance,9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani,0.135,2
Laat Sahab,2010,143,Drama,,,Dinesh Chaudhary,Sangeeta Choudhary,Kavita Joshi,Uttar Kumar,1.6,0.01
Ladies First,2014,106,Romance,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi,5,84
Lafda,c,106,Drama,,,Pratap Kumar,Vivek Sharma,Uttar Kumar,Monu Dhankad,46,5.82
Lagna Pahave Karun,2013,125,Romance,6.5,55,Ajay Naik,Umesh Kamat,Mukta Barve,Siddharth Chandekar,36,8.9
