Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Ajab Singh Ki Gajab Kahani,2017,115,Drama,5.8,52,Rishi Prakash Mishra,Ajay Kumar Singh,Vikas Giri,Rajesh Jais,52000000,400000
Akira,2016,137,Action/ Thriller,5.9,453,A.R. Murugadoss,Anurag Kashyap,Sonakshi Sinha,Urmila Mahanta,40000000,1510000000
Alex's Strip,2019,109,Drama,5.9,37,Irene Zoe Alameda,Aitana Sánchez-Gijón,Aida Folch,Rohit Choudhary,230000000,120000000
Alibaba and 40 Thieves,1954,145,Action/ Adventure/ Drama,6.2,46,Homi Wadia,Shakila,Mahipal,B.M. Vyas,170000000,450000000
All Ladies Do It,2020,97,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva,290000000,960000000
Allah Ke Banday,2010,123,Action/ Crime/ Drama,6.1,303,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale,50000000,5300000
Amir Salman Shahrukh,2016,109,Comedy,5.5,12,Dewashish Ghosh,Sagar Pandey,Raju Rahikwar,,1850000000,1690000000
Andhadhun,2018,139,Comedy/Crime/Music,8.2,"89,013",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,320000000,4560000000
Antim:The final Thruth,2021,150,Action/Drama,7.2,"54,019",Mahesh Manjrekar,Salman Khan,Aayush Sharma,Mahima Makwana,480000000,580000000
Article 15,2019,130,Crime/Mystery/Drama,8.2,"32,427",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa,300000000,930000000
Atithi Tum Kab Jaoge? ,2010,115,Comedy,7,"59,201",Ashwni Dhir,Ajay Devgn,Paresh Rawal,Konkona Sen Sharma,150000000,290000000
Atrangi Re,2021,150,Musical/Drama,6.7,"23,247",Anand L Rai,Dhanush,Sara Ali Khan,Akshay Kumar,400000000,1000000000
Attack,2022,130,Action/ Thriller,7,7896,Lakshya Raj Anand,Jhon Abraham,Rakul Preet,Jacqueline Fernandez,650000000,35100000
Baadshaho,2017,136,Action/ Adventure/ Thriller,4.9,"4,454",Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi,900000000,1235000000
Baaghi,2016,133,Action/ Romance/ Thriller,5.2,"7,912",Sabir Khan,Tiger Shroff,Shraddha Kapoor,Sudheer Babu Posani,370000000,1259200000
Baaghi 2,2018,137,Action/ Thriller,4.8,"9,625",Ahmed Khan,Tiger Shroff,Disha Patani,Manoj Bajpayee,590000000,2543300000
Baaghi 3,2020,143,Action/ Comedy/ Musical,2.1,"10,309",Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor,850000000,1375700000
Baar Baar Dekho,2016,141,Action/ Comedy/ Drama,5.3,"6,423",Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta,530000000,626700000
Baazigar,1993,175,Crime/ Drama/ Musical,7.7,"26,583",Abbas Alibhai Burmawalla,Shah Rukh Khan,Mastan Alibhai Burmawalla,Kajol,20000000,80000000
Babumoshai Bandookbaaz,2017,122,Action/ Crime/ Thriller,6.9,"1,974",Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,140000000,182400000
Bachchan Pandey,2022,146,Action,6.8,1287,Farhad Samji,Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,1650000000,494800000
Bachchan Pandey,2021,126,Comedy Action6.8,6.8,"2,834",Farhad Samji,Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,1800000000,1000000000
Badhaai Do,2022,147,Comedy/ Drama,7.3,8426,Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,Chum Darang,450000000,206200000
Badhaai Do,2021,147,Comedy,7.3,"3,025",Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,,350000000,550000000
Badhaai Ho,2018,124,Comedy/ Drama,8,"29,518",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,290000000,2195000000
Badla,2019,118,Crime/ Drama/ Mystery,7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,100000000,1384900000
Badlapur,2015,134,Action/ Crime/ Drama,7.4,"22,324",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,160000000,813300000
Badlapur Boys,2014,123,Drama,4.7,123,Shailesh Verma,Annu Kapoor,Anupam Maanav,Saranya Mohan,70000000,10000000
Badmaash Company,2010,142,Comedy/ Crime/ Drama,6,"6,466",Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,250000000,484500000
Badmashiyaan,2015,128,Comedy/ Romance,4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra,10000000,10300000
Badrinath Ki Dulhania,2017,139,Comedy/ Drama/ Romance,6.1,"10,865",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,390000000,203000000
Bahut Hua Sammaan,2020,125,Comedy/ Crime/ Drama,7.3,"3,036",Ashish R. Shukla,Ram Kapoor,Sanjay Mishra,Raghav Juyal,170000000,580000000
Baiju Bawra,2021,,Drama,,,Sanjay Leela Bhansali,Ranbir Kapoor,Deepika Padukone,Alia Bhatt,800000000,23000000
Bajrangi Bhaijaan,2015,163,Action/ Adventure/ Comedy,8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,900000000,9690600000
Bal Ganesh 2,2009,74,Animation,6.5,46,Pankaj Sharma,,,,22500000,2600000
Bala,2019,133,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,280000000,1720000000
Bareilly ki Barfi,2017,116,Comedy/Drama,7.5,"23,011",Ashwiny Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,200000000,587500000
Befikre,2016,130,Romance/ Drama,4,689,Aditya Chopra,Ranveer Singh,Vaani Kapoor,Julie Ordon,700000000,1500000000
Bell Bottom,2021,123,Action/Thriller,8,"1,733",Ranjit Tiwari,Akshay Kumar,Vaani Kapoor,Lara Dutta,250000000,203000000
besharam,2013,142,Romance/ Action,3.5,12,abhinav kashyap,Ranbir Kapoor,Rishi Kapoor,neetu singh,830000000,950000000
bewakoofiyaan,2014,119,Romance/ Comedy,5.5,53,nupur asthana,Ayushmann Khurrana,Rishi Kapoor,Sonam Kapoor,220000000,230000000
bhaag johnny,2014,119,Action/ Thriller,5.1,786,Shivam Nair,Kunal khemu,zoa morani,mandana karimi,150000000,80000000
Bhaag Milkha Bhaag,2013,186,Biography,8.2,"66,751",Rakeysh Omprakash Mehra,Farhan Akhtar,Japtej Singh,Divya Dutta,530000000,1630000000
Bhool Bhulaiyaa 2,2021,159,Comedy/Horror,7.4,174,Anees Bazmee,Kartik Aaryan,Tabu,Kiara Advani,210000000,1690000000
bobby jasoos,2014,121,Thriller/ Drama,5.5,5802,samar shaikh,ali fazal,Vidya Balan,arjan bajwa,260000000,210000000
bodyguard,2011,130,Action/ Romance/ Thriller,4.6,4523,siddique,Salman Khan,Kareena Kapoor,hazel keech,600000000,2340000000
bombay talkies,2013,127,Drama,6.6,8970,dibakar banerjee,Nawazuddin Siddiqui,Rani Mukerji,Randeep Hooda,300000000,1500000000
Chalte Chalte,2003,167,Drama/ Romance,6.6,"14,779",Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,110000000,432800000
Chance pe dance,2010,158,Romance,5,"98,257",Ken Ghosh,Shahid Kapoor,Genellia D'Souza,Vikas Bhalla,290000000,160000000
Chandigarh Kare Ashique,2021,120,Drama,7,"21,665",Abhishek Kapoor,Ayushmann Khurrana,Vaani Kapoor,Abhishek Bajaj,690000000,385700000
chennai express,2013,141,Romance/ Action,6,4873,Rohit Shetty,Shah Rukh Khan,Deepika Padukone,nikitin dheer,1150000000,4230000000
Chichhore,2019,143,Comedy/Drama/Romance,8.2,"49,827",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,500000000,2150000000
creature,2014,134,Horror,3.1,698,Vikram bhatt,deepraj rana,imran abbas,Bipasha basu,250000000,320000000
Dear Zindagi,2016,151,Drama/Romance,7.4,"39,648",Gauri Shinde,Shah Rukh Khan,Alia bhatt,Kunal Kapoor,460000000,1380000000
Delhi Belly,2011,103,Crime,7.5,"29,412",Abhinay Deo,Imran Khan,Vir Das,Kunaal Roy Kapoor,230000000,730000000
Dhaakad,2021,90,Thriller/Action,5.5,184,Razneesh Ghai,Arjun Rampal,Kangana Ranaut,Divya Dutta,800000000,3150000000
Dhamaka,2021,104,Thriller/Action,7.7,"39,288",Ram Madhvani,Kartik Aaryan,Amruta Subhash,Mrunal Thakur,300000000,350000000
dhoom3,2013,172,Action/ Thriller,5.3,2053,Vijay Krishna Acharya,Aamir Khan,Abhishek Bachchan,Katrina Kaif,1750000000,5570000000
Dil Bechara,2020,101,Romance,8,"1,28,504",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,380000000,500000000
Dil Dhadakne Do,2015,170,Comedy/ Drama/ Romance,6.9,"15,722",Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas,580000000,1450000000
Dil Hai Ki Manta Nahin,1991,154,Adventure/ Comedy/ Drama,7.3,"4,087",Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher,22000000,45200000
Dilwale,2015,158,Action/ Comedy/ Drama,5.1,"32,366",Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,1000000000,5970000000
Dilwale Dulhania Le Jayenge,1995,181,Drama/ Romance,8.1,"65,134",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,400000000,1220000000
dishkiyaoon,2014,119,Action/ Crime/ Drama,5.2,604,sanamjit singh talwar,Sunny Deol,harman baweja,shilpa shetty,40000000,70000000
double dhamaal,2011,140,Comedy,3.9,4893,indra kumar,arshad warsi,Sanjay Dutt,jaaved jaffrey,290000000,720000000
Dulha Mil Gaya,2010,152,Romance,4.5,"13,557",Muddassar Aziz,Shah Rukh Khan,Sushmita Sen,Fardeen Khan,250000000,120000000
Dum Laga Ke Haisha,2015,109,Comedy,7.5,"19,618",Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava,140000000,1130000000
Ek Tha Tiger,2012,132,Action/ Romance/ Thriller,5.5,"31,627",Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,750000000,3343900000
Fan,2016,138,Thriller/ Drama,6.9,2846,Maneesh Sharma,Shah Rukh Khan,Waluscha Sousa,Shriya Pilgaonkar,1200000000,1880000000
Fashion,2008,167,Drama/ Romance,6.9,"11,918",Madhur Bhandarkar,Priyanka Chopra Jonas,Kangana Ranaut,Mugdha Godse,200000000,392900000
finding fanny,2014,102,Romance/ Comedy,5.7,786,homi adajania,arjun kapoor,Deepika Padukone,pankaj kapur,280000000,500000000
Fitoor,2016,131,Romance/ Drama,5.4,45,Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu,350000000,200000000
Force 2,2016,127,Action/ Adventure,6.2,8763,Abhinay Deo,Jonh Abhraim,Sonakshi Sinha,Genelia Dâ€™souza,410000000,590000000
fugly,2014,134,Drama/ Thriller,4.7,65,kabir sadanand ,mohit marwah,kiara advani,jimmy shergill,100000000,420000000
Fukrey,2013,139,Comedy/ Drama/ Romance,6.9,"10,762",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,190000000,490000000
Gabbar is Back,2015,128,Action/ Comedy/ Crime,7.1,"23,209",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor,790000000,1350000000
Gadar: Ek Prem Katha,2001,170,Action/ Drama/ Romance,7.2,"10,264",Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri,190000000,1330000000
Gangs of Wasseypur,2012,321,Action/Comedy,8.2,"93,616",Anurag Kashyap,Nawazuddin Siddiqui,Richa Chadha,Manoj Bajpayee,90000000,270000000
Gangubai,2022,152,Drama,7,753,Sanjay Leela Bhansali,Ajay devgn,Shantanu Maheshwari,Alia bhatt,1800000000,1265100000
Garam Masala,2005,146,Comedy,6.7,"14,431",Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal,170000000,540000000
Geheraiyaan,2022,148,Romance/ Thriller,6.2,6934,Shakun Batra,Siddhant Chaturvedi,Ananya Pandey,Deepika Padukone,700000000,850000
Ghajini,2008,186,Action/ Drama/ Mystery,7.3,"57,604",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan,650000000,2320000000
Ghanchakkar,2013,137,Comedy/ Crime/ Thriller,5.8,"4,797",Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma,290000000,390000000
Golmaal 3,2010,155,Action/ Comedy,5.5,"7,644",Rohit Shetty,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,350000000,1690000000
Golmaal Again,2017,140,Action/ Comedy/ Fantasy,5,"8,423",Rohit Shetty,Ajay Devgn,Arshad Warsi,Tabu,720000000,3150000000
Golmaal Returns,2008,135,Comedy/ Crime/ Mystery,5.1,"7,236",Rohit Shetty,Ajay Devgn,Kareena Kapoor,Arshad Warsi,280000000,824000000
Golmaal: Fun Unlimited,2006,150,Action/ Comedy/ Drama,7.4,"15,556",Rohit Shetty,Ajay Devgn,Arshad Warsi,Sharman Joshi,150000000,467200000
Good Newwz,2019,134,Comedy,6.9,"15,644",Raj Mehta,Akshay Kumar,Kareena Kapoor,Diljit Dosanjh,1170000000,3180000000
gori tere pyaar mein,2013,150,Romance/ Comedy,4.9,3469,Punit Malhotra,Imran Khan,Kareena Kapoor,Shraddha Kapoor,300000000,100000000
Gully Boy,2019,154,Drama/Music/Romance,8,"38,133",Zoya Akhtar,Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi,700000000,2400000000
Haal-e-Dil,2008,124,Drama/ Romance,3.4,240,Anil Devgan,Nakuul Mehta,Amita Pathak,Adhyayan Suman,60000000,15000000
Haat - The Weekly Bazaar,2011,102,Drama,5.7,14,Seema Kapoor,Mukesh Tiwari,Divya Dutta,Archana Puran Singh,15000000,34900000
Haathi Mere Saathi,2021,126,Drama,,,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat,250000000,200000
Haatim Tai,1990,125,Drama/ Fantasy/ Romance,5.8,314,Babubhai Mistry,Jeetendra,Sangeeta Bijlani,Sonu Walia,19000000,5495000
Hadh Kar Di Aapne,2000,134,Comedy/ Romance,5.3,"1,754",Manoj Agrawal,Govinda,Rani Mukerji,Johnny Lever,80000000,39000000
Haggada Kone: End of the Rope,2014,102,Drama,8.4,52,Dayal Padmanabhan,Naveen Krishna,Suchendra Prasad,Mohan,2200000,330000000
Haider,2014,160,Action/ Crime/ Drama,8.1,"51,354",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,350000000,23000000
Hair is Falling: A Serious Comedy Film,2011,120,Comedy/ Drama,5.3,31,Vicky Bhardwaj,Rajesh Bhardwaj,Sanjana Tiwari,Priyanka,1000000,38000000
Half Dracula,2021,100,Mystery,,,Vickram,Amit Kumar Vashisth,Toofan Verma,,150000,1200000
Half Songs,2021,79,Music/ Romance,9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani,1350000,20000000
