Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Looop Lapeta,2021,,Action/ Comedy/ Romance,,,Aakash Bhatia,Shreya Dhanwanthary,Taapsee Pannu,Tahir Raj Bhasin,530000000,230000000
Lootcase,2020,132,Comedy,7.6,"17,213",Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz,200000000,100000000
lootera,2013,136,Romance/ Drama,7.4,3102,Vikramaditya Motwane,Ranveer Singh,Sonakshi Sinha,vikrant massey,390000000,470000000
Love Breakups Zindagi,2011,156,Comedy/ Drama/ Romance,5.8,"1,006",Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar,130000000,105400000
Ludo,2020,149,Action,7.6,"38,118",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao,210000000,430000000
M.S. Dhoni: The Untold Story,2016,184,Biography/ Drama/ Sport,7.9,"43,713",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,80000000,73200000
Maali,2020,85,Drama,,,Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma,150000000,90000000
Maassab (The Teacher),2018,116,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary,230000000,560000000
Machaan,2021,124,Drama/ Romance,8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal,450000000,796000000
Made in China,2019,128,Comedy/ Drama,6.2,"3,845",Mikhil Musale,Boman Irani,Rajkummar Rao,Mouni Roy,480000000,260000000
Madmast Barkhaa,2015,102,Romance/ Thriller,3.6,27,Jaspal Singh,Ekaansh Bhaardwaaj,Mithilesh Chaturvedi,Farida Dadi,800000000,400000
Mad'ouk - Toughened by Life,2021,79,Documentary,,,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama,120000000,120000000
Madras Cafe,2013,130,Action,7.6,"24,407",Shoojit Sircar,Nargis Fakhri,John Abraham,Raashi Khanna,350000000,670000000
Mahanadhi,2013,,Drama/ Family/ History,,,Krishnappa Uppur,Sanjjanaa Galrani,Sadhu Kokila,Rangayana Raghu,250000000,450000000
Mahayoddha Rama,2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,150000000,960000000
Main Hoon Rajinikanth,2015,127,Comedy,7.3,35,Faisal Saif,Shakti Kapoor,Smita Gondkar,Sameer Khan,200000000,390000000
mardaani,2014,113,Action/ Crime/ Drama,7.3,9658,pradeep sarkar,avneet kaur,tahir raj bhasin,rani mukerji,160000000,570000000
mary kom,2014,122,Sport/Drama,6.8,74563,Omung Kumar,shakti kapoor,darshan kumar,Priyanka Chopra Jonas,180000000,870000000
Mohenjo Daro,2016,155,Action/ Romance/ Thriller,5.6,124,Ashutosh Gowariker,Hrithik Roshan,Pooja Hedge,Kabir brdi,1150000000,1080000000
murder 2,2011,127,Thriller/ Drama,6.3,9650,mohit suri,Imran Khan,Jacqueline Fernandez,yana gupta,130000000,680000000
My Name is Khan,2010,165,Thriller/Action,8,"79,214",Karan Johar,Shah Rukh Khan,Kajol,Vinay Pathak,500000000,2230000000
N.H 10,2015,115,Action/ Crime/ Drama,7.2,"12,421",Navdeep Singh,Darshan Kumaar,Neil Bhoopalam,Anushka Sharma,1100000000,467200000
Naam Shabana,2017,147,Action/ Thriller,6.3,"5,924",Shivam Nair,Manoj Bajpayee,Akshay Kumar,Taapsee Pannu,750000000,824000000
Nagin,1976,180,Fantasy/ Thriller/ Action,6.3,442,Rajkumar Kohli,Sunil Dutt,Feroz Khan,Vinod Mehra,200000000,3150000000
Nail Polish,2021,128,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari,190000000,1690000000
Nanak Shah Fakir,2014,146,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain,790000000,60000000
Nartaki,1940,150,Drama,6.5,11,Debaki Bose,Leela Desai,Bhanu Bannerjee,Najmul Hussain,190000000,15000000
Nazarband,2020,85,Drama,,35,Suman Mukhopadhyay,Tanmay Dhanania,Indira Tiwari,,170000000,34900000
Neighbours,2014,125,Horror,3.2,42,Shyam Ramsay,Sunny Singh,Hritu,Gavie Chahal,650000000,200000
Newton,2017,106,Comedy/ Drama,7.7,"17,734",Amit Masurkar,Rajkummar Rao,Pankaj Tripathi,Anjali Patil,290000000,5495000
NH-8: Road to Nidhivan,2015,95,Horror,2.7,"17,734",Munindra,Auroshika Dey,Arjun Fauzdar,Swaroopa Ghosh,150000000,39000000
October,2018,115,Drama/Romance,7.5,"15,428",Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao,330000000,580000000
Oh My God,2012,125,Comedy/Drama/Fantasy,8.1,"57,450",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mahesh Manjrekar,200000000,1800000000
one night stand,2016,99,Romance/ Drama,3.1,854,Jasmine D'souza,Tanuj virwani,Sunny leone,Nyra Banerjee,30000000,50000000
Paa,2009,133,Comedy/ Drama,7.2,"11,492",R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,130000000,1020000000
Paan Singh Tomar,2012,135,Action/ Biography/ Crime,8.2,"34,161",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,70000000,200000000
Paathshaala,2010,122,Drama/ Family,4.9,"1,660",Milind Ukey,Nana Patekar,Adil Feroz Khan,Shahid Kapoor,140000000,170000000
Pad Man,2018,140,Comedy/ Drama,7.9,"22,611",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor,350000000,782200000
Padmaavat,2018,164,Drama/ History/ Romance,7,"28,573",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Shahid Kapoor,2150000000,5850000000
Pagalpanti,2019,149,Action/ Comedy,3.2,"2,118",Anees Bazmee,Anil Kapoor,John Abraham,Ileana D'Cruz,720000000,491700000
Param Vir Chakra,1995,170,War,6.7,52,Ashok Kaul,Saeed Jaffrey,Kulbhushan Kharbanda,Hema Malini,200000000,75000000
Pari,2018,136,Fantasy/ Horror/ Mystery,6.6,"5,900",Prosit Roy,Rajat Kapoor,Parambrata Chattopadhyay,Anushka Sharma,300000000,414000000
Parmanu: The Story of Pokhran,2018,129,History/Action,7.6,"23,772",Abhishek Sharma,John Abraham,Boman Irani,Diana Penty,440000000,910000000
Pataakha,2018,134,Action/Comedy,7.2,"4,175",Vishal Bhardwaj,Sunil Grover,Radhika Madan,Sanya Malhotra,190000000,100000000
Patiala House,2011,140,Drama/ Sport,5.6,"8,780",Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,260000000,353000000
Phantom,2015,136,Action/ Drama/ Thriller,5.9,"8,714",Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty,720000000,840000000
phhir,2011,100,Mystery/ Romance,5.2,630,girish dhamija,rajneesh duggal,asah sharma,parag tyagi,130000000,320000000
Pink,2016,136,Crime,8.1,"44,145",Aniruddha Roy Chawdhary,Amitabh Bachchan,Taapsee Pannu,Kirti Kulhari,300000000,1570000000
PK,2014,153,Comedy/Drama,8.1,"1,79,383",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,840000000,8540000000
PM Narendra Modi,2019,136,Biography/ Drama,3.1,"5,954",Omung Kumar,Vivek Oberoi,Manoj Joshi,Darshan Kumaar,80000000,285100000
Poster Boys,2017,128,Comedy,5.4,"1,446",Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade,120000000,150000000
Prithviraj,2021,90,Action/Drama,3.2,"17,734", Chandraprakash Dwivedi, Akshay Kumar,Sonu Sood,Manushi Chhillar,280000000,330000000
Psycho Raman,2016,133,Crime/ Drama/ Thriller,7.4,"13,418",Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,35000000,70000000
Pushpa,2021,179,Action/Drama,8,"4,79,997",Sukumar,Allu Arjun,Rashmika Mandanna,Samantha Ruth Prabhu,2500000000,3650000000
Pyaar Impossible!,2010,141,Romance,5,"23,189",Jugal Hansraj,Anupam Kher,Uday Chopra,Priyanka Chopra Jonas,140000000,90000000
Pyaar Ka Punchnama,2011,149,Comedy,7.6,"21,350",Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Nushrratt Bharuccha,100000000,170000000
Pyaar Ka Punchnama 2,2015,137,Comedy/ Drama/ Romance,7.2,"14,259",Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar,220000000,880000000
Queen,2013,146,Adventure/ Comedy/ Drama,8.1,"64,022",Vikas Bahl,Rajkummar Rao,Kangana Ranaut,Lisa Haydon,120000000,950000000
R... Rajkumar,2013,146,Action/ Comedy/ Romance,5.2,"5,552",Prabhu Deva,Sonu Sood,Sonakshi Sinha,Shahid Kapoor,580000000,995700000
Ra.One,2011,156,Action/ Adventure/ Sci-Fi,4.7,"39,039",Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,1500000000,2070000000
Raabta,2017,147,Action/ Drama/ Fantasy,5.1,"6,311",Dinesh Vijan,Sushant Singh Rajput,Deepika Padukone,Rajkummar Rao,470000000,395000000
Raanjhanaa,2013,140,Drama/ Romance,7.6,"30,344",Aanand L. Rai,Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub,360000000,940000000
Raazi,2018,138,Action/Thriller,7.7,"30,000",Meghna Gulzar,Vicky Kaushal,Alia bhatt,Rajit Kapoor,400000000,1970000000
Rab Ne Bana Di Jodi,2008,167,Comedy/ Drama/ Music,7.2,"44,985",Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,226700000,1870000000
Race,2008,149,Action/ Crime/ Drama,6.7,"13,516",Abbas Alibhai Burmawalla,Saif Ali Khan,Mastan Alibhai Burmawalla,Akshaye Khanna,460000000,1034500000
Race 2,2013,150,Action/ Crime/ Thriller,5.4,"15,574",Abbas Alibhai Burmawalla,Anil Kapoor,Saif Ali Khan,Mastan Alibhai Burmawalla,940000000,1800000000
Race 3,2018,160,Action/ Crime/ Thriller,1.9,"42,457",Remo D'Souza,Salman Khan,Anil Kapoor,Bobby Deol,1800000000,1650000000
Radhe,2021,135,Action/ Crime/ Thriller,1.8,"1,62,455",Prabhu Deva,Salman Khan,Disha Patani,Randeep Hooda,900000000,183300000
Radhe Shyam,2022,128,Drama,6.8,123,Radha Krishna Kumar,Prabhas,Pooja Hedge,Bhagyashree,3000000000,1045000000
Raid,2018,122,Action/ Crime/ Drama,7.4,"15,835",Raj Kumar Gupta,Ajay Devgn,Ileana D'Cruz,Amit Bimrot,720000000,1536200000
Raja Natwarlal,2014,141,Crime/ Thriller,6.1,"4,038",Kunal Deshmukh,Emraan Hashmi,Humaima Malik,Paresh Rawal,470000000,390000000
ramleela,2013,155,Romance/ Musical,6.4,70423,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Supriya Pathak,480000000,2210000000
Rang De Basanti,2006,167,Comedy/ Crime/ Drama,8.1,"1,14,446",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,280000000,970000000
Rann,2010,137,History/Action,8,"65,973",Ram Gopal Varma,Riteish Deshmukh,Amitabh Bachchan,Paresh Rawal,300000000,130000000
ready,2011,145,Action/ Comedy,4.8,20463,Anees Bazmee,Salman Khan,Asin,Paresh Rawal,400000000,1800000000
rockstar,2011,159,Romance/ Musical,7.7,10364,Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,shammi kapoor,600000000,1080000000
RRR,2022,187,Action/ Drama,9.1,4563,S.S Rajamouli,Ram Charan,N.T. Rama Rao,Alia Bhatt,6000000000,7510000000
Saand Ki Aankh,2019,146,Biography/ Drama,7.7,"4,210",Tushar Hiranandani,Prakash Jha,Bhumi Pednekar,Taapsee Pannu,250000000,307000000
Saawariya,2007,142,Drama/ Musical/ Romance,5.2,"7,445",Sanjay Leela Bhansali,Ranbir Kapoor,Sonam Kapoor,Salman Khan,310000000,390000000
Sachin - A Billion Dreams,2017,138,Documentary/ Sport,8.6,"7,711",James Erskine,Sachin Tendulkar,Mikhail Gandhi,Anjali Tendulkar,200000000,750000000
sairat,2016,174,Romance/ Drama,8.3,7813,Nagraj Manjule,Rinku Rajguru,Akash thosar,Tanaji Galgunde,40000000,1100000000
sanam teri kasam,2016,154,Romance,7.5,9856,Radhika Rao,Harshvardhan rane,Mawra hocane,Vijay Raaz,150000000,90000000
Sanju,2018,155,Biography/ Comedy/ Drama,7.7,"49,199",Rajkumar Hirani,Ranbir Kapoor,Paresh Rawal,Manisha Koirala,960000000,5868500000
Sardar Ka Grandson,2021,156,Drama,4.3,"1,734",Kaashvi Nair,Arjun Kapoor,Neena Gupta,Rakul Preet Singh,300000000,2543300000
Sardar Udham,2021,164,Biography,8.5,"39,078",Shoojit Sircar,Vicky Kaushal,Shaun Scott,Amol Parashar,300000000,250000000
Satyagraha,2013,152,Drama,5.9,"4,964",Prakash Jha,Amitabh Bachchan,Kareena Kapoor,Ajay Devgn,730000000,971800000
Satyameva Jayate,2018,140,Action/ Crime/ Drama,5.7,"6,302",Milap Zaveri,John Abraham,Manoj Bajpayee,Aisha Sharma,400000000,1084100000
Satyameva Jayate 2,2021,122,Action/ Crime/ Drama,5.2,"15,433",Milap Zaveri,John Abraham,Gautami Kapoor,Divya Khosla Kumar,950000000,172900000
Secret Superstar,2017,150,Drama/ Music,7.8,"21,923",Advait Chandan,Raj Arjun,Meher Vij,Zaira Wasim,150000000,9650000000
Section 375,2019,124,Crime/Drama/Mystery,8.1,"15,316",Ajay Bahl,Akshaye Khanna,Richa Bhatt,Meera Chopra,200000000,110000000
Shaadi Ke Side Effects,2014,145,Comedy/ Romance,5.6,"3,882",Saket Chaudhary,Farhan Akhtar,Vidya Balan,Vir Das,430000000,696000000
Shaadi Mein Zaroor Aana,2017,137,Drama/ Romance,7.6,"13,387",Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina,130000000,194000000
shaitan,2011,121,Thriller,7.2,340,Bejoy Nambiar,rajeev khandelwal,gulshan devaiah,kalki koechlin,110000000,400000000
Shakuntala Devi,2020,127,Biography/ Drama,6.1,"8,456",Anu Menon,Adi Chugh,Vidya Balan,Sanya Malhotra,250000000,400000000
Shershaah,2021,106,Action,9,"1,752",Vishnuvarshan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,550000000,1259200000
Sholay,1975,162,Action/ Adventure/ Comedy,8.2,"52,511",Ramesh Sippy,Amitabh Bachchan,Dharmendra,Sanjeev Kumar,30000000,500000000
Shootout at Lokhandwala,2007,122,Action/ Crime/ History,7.1,"9,607",Apoorva Lakhia,Sunil Shetty,Sanjay Dutt,Amitabh Bachchan,180000000,460400000
Shootout at Wadala,2013,155,Action/ Biography/ Crime,5.9,"6,439",Sanjay Gupta,Anil Kapoor,John Abraham,Manoj Bajpayee,500000000,820000000
Shor in the City,2010,112,Crime/ Drama,7.2,"3,502",Krishna D.K.,Tusshar Kapoor,Sendhil Ramamurthy,Raj Nidimoru,80000000,60000000
Shubh Mangal Savdhan,2017,119,Comedy/ Romance,6.9,"9,094",R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava,250000000,645400000
Simmba,2018,158,Action/ Comedy/ Crime,5.6,"15,244",Rohit Shetty,Ranveer Singh,Sam Nagar,Sara Ali Khan,800000000,4000000000
Singh Is Bliing,2015,141,Action/ Comedy,5,"7,891",Prabhu Deva,Akshay Kumar,Amy Jackson,Lara Dutta,910000000,1260000000
Singh Is King,2008,135,Action/ Comedy/ Crime,5.7,"14,526",Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri,300000000,1360000000
Singham,2011,143,Action/ Crime/ Drama,6.8,"14,788",Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj,380000000,1410000000
Singham Returns,2014,142,Action/ Crime/ Drama,5.7,"7,675",Rohit Shetty,Ajay Devgn,Kareena Kapoor,Amole Gupte,600000000,2170000000
Sitapur The City Of Gangsters,2021,127,Drama,5,"7,738",Mobeen Warsi,Jabbar Akram,Mirza Azhar,Ravi Sudha,240000000,1235000000
Son of Sardaar,2012,141,Action/ Comedy,4,"9,060",Ashwani Dhir,Ajay Devgn,Anil Devgan,Sanjay Dutt,300000000,1614800000
sonali cable,2014,127,Drama,5.3,12,Charudutt acharya,ali fazal,raghav juyal,rhea chakraborty,130000000,560000000
Sonchiriya,2019,143,Action/ Crime/ Drama,8.1,"9,572",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana,220000000,104200000
Sonu Ke Titu Ki Sweety,2018,138,Comedy/Romance,7.1,"21,909",Luv Ranjan,Kartik Aaryan,Nushrratt Bharuccha,Sunny Singh Nijjar,200000000,1520000000
Sooryavanshi,2021,145,Action/Drama,6.6,"1,60,446",Rohit Shetty,Akshay Kumar,Katrina Kaif,Jackie Shroff,1600000000,2941700000
Special 26,2013,144,Crime/Thriller/Drama,8,"55,489",Neeraj Pandey,Akshay Kumar,Manoj Bajpayee,Anupam Kher,500000000,1030000000
Stree,2018,128,Comedy/ Horror,7.6,"29,900",Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi,200000000,1807600000
Sui Dhaaga,2018,122,Comedy/Drama,6.7,"8,231",Sharat Katariya,Varun Dhawan,Anushka Sharma,Ashish Verma,400000000,1250000000
Super 30,2019,154,Biography,7.9,"29,309",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Virendra Saxena,600000000,2080000000
Taare Zameen Par,2007,164,Drama/Musical,.8.4,187316,Amole Gupta,Aamir Khan,Darsheel Safary,Tisca Chopra,120000000,890000000
Tadap,2021,126,Romance/Action,5.7,"3,985",Milan Luthria,Suniel Shetty,Ahan Shetty,Tara Sutaria,230000000,349600000
Talvar,2015,132,Crime/Drama/Mystery,8.1,"34,649",Meghna Gulzar,Irrfaan Khan,Neeraj Kabi,Sohum Shah,150000000,300000000
Tamasha,2015,139,Comedy/ Drama/ Romance,7.3,"24,623",Imtiaz Ali,Ranbir Kapoor,Deepika Padukone,Sushma Seth,800000000,1320000000
Tanhaji: The Unsung Warrior,2020,135,Action/ Biography/ Drama,7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,1500000000,3680000000
Tashan,2008,120,Action/ Drama/ Romance,3.9,"5,037",Vijay Krishna Acharya,Akshay Kumar,Saif Ali Khan,Kareena Kapoor,310000000,330000000
Tees Maar Khan,2010,135,Comedy/ Crime,2.6,"11,981",Farah Khan,Akshay Kumar,Katrina Kaif,Akshaye Khanna,450000000,1000000000
Tevar,2015,157,Action/ Drama/ Romance,4,"3,014",Amit Ravindernath Sharma,Arjun Kapoor,Sonakshi Sinha,Manoj Bajpayee,560000000,570000000
Thackeray,2019,120,Biography/ Drama,5.2,"3,005",Abhijit Panse,Nawazuddin Siddiqui,Amrita Rao,Radha Sagar,310000000,238300000
Thalaivi,2021,153,Drama,6.3,"30,399",Vijay A L,Arvind Swamy,Kangana Ranaut,Raj Arjun,600000000,830000000
thank you,2011,125,Romance/ Comedy,4.7,3601,Anees Bazmee,Akshay Kumar,Sonam Kapoor,irrfan khan,580000000,1200000000
Thappad,2020,142,Drama,6.8,"15,063",Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra,240000000,437700000
The Body,2019,101,Mystery/Thriller,5.4,"3,371",Jeethu Joseph,Emraan Hashmi,Rishi Kapoor,Vedhika,190000000,40000000
The Dirty Picture,2011,144,Biography/ Comedy/ Drama,6.6,"8,931",Milan Luthria,Emraan Hashmi,Vidya Balan,Tusshar Kapoor,250000000,1170000000
The Ghazi Attack,2017,116,Action/ Thriller/ War,7.6,"12,367",Sankalp Reddy,Atul Kulkarni,Kay Kay Menon,Rana Daggubati,210000000,330000000
the lunchbox,2013,104,Romance/ Drama,7.8,8423,ritesh batra,Irrfaan Khan,nimrat kaur,Nawazuddin Siddiqui,220000000,1010000000
Thugs of Hindostan,2018,164,Action/ Adventure,4.1,"18,219",Vijay Krishna Acharya,Aamir Khan,Amitabh Bachchan,Katrina Kaif,3000000000,3350000000
Tiger Zinda Hai,2017,161,Action/ Adventure/ Thriller,5.9,"25,732",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka,2100000000,5651000000
Trapped,2016,105,Drama,7.6,8963,Vikramaditya Motwane,Rajkummar Rao,Geetanjali Thapa,Shiladitya Sen,50000000,30000000
Tubelight,2017,136,Drama/ War,3.8,"17,774",Kabir Khan,Salman Khan,Sohail Khan,Om Puri,1100000000,2111400000
Tum Bin 2,2016,147,Romance/ Drama,4.8,596,Anubhav Sinha,aditya Seal,Aashim Gulati,neha sharma,120000000,170000000
Tumhari Sulu,2017,150,Comedy/ Drama,7,"4,761",Suresh Triveni,Manav Kaul,Vidya Balan,Neha Dhupia,200000000,508000000
Ujda Chaman,2019,120,Comedy,6.9,"4,944",Abhishek Pathak,Danish Singh,Navinder Pal Singh,Sunny Singh Nijjar,150000000,132000000
Uri: The Surgical Strike,2018,138,Action/ Drama/ War,8.2,"45,981",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,250000000,3420600000
Vaah! Life Ho Toh Aisi!,2005,153,Comedy/ Drama/ Family,4.5,"2,293",Mahesh Manjrekar,Shahid Kapoor,Amrita Rao,Sanjay Dutt,120000000,190000000
Veer,2010,169,Action/ Adventure/ Drama,4.5,"7,598",Anil Sharma,Salman Khan,Jackie Shroff,Mithun Chakraborty,480000000,646000000
Veere Di Wedding,2018,135,Comedy,3.2,"12,000",Shashanka Ghosh,Kareena Kapoor,Sonam Kapoor,Neena Gupta,450000000,1388000000
Veer-Zaara,2004,192,Drama/ Family/ Musical,7.8,"50,101",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,230000000,980000000
Vicky Donor,2012,126,Comedy/ Romance,7.8,"40,589",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,150000000,663200000
Vivah,2006,160,Drama/ Musical/ Romance,6.6,"9,288",Sooraj R. Barjatya,Shahid Kapoor,Amrita Rao,Anupam Kher,80000000,500000000
Wake Up Sid,2009,138,Comedy/ Drama/ Romance,7.6,"29,167",Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,130000000,471000000
Wanted,2009,147,Action/ Crime/ Thriller,6.6,"22,173",Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna,530000000,884400000
Waqt: The Race Against Time,2005,153,Comedy/ Drama/ Family,6.8,"9,478",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra Jonas,160000000,424800000
Wazir,2016,103,Thriller/ Action,7.1,7892,Bejoy Nambiar,Farhan Akhtar,Amitabh Bachchan,Aditi Rao Hydari,350000000,790000000
Welcome,2007,159,Comedy/ Romance,6.9,"19,527",Anees Bazmee,Akshay Kumar,Katrina Kaif,Nana Patekar,320000000,1220000000
Welcome Back,2015,152,Action/ Comedy/ Crime,4.2,"5,656",Anees Bazmee,John Abraham,Anil Kapoor,Nana Patekar,680000000,1687600000
Welcome to New York,2018,118,Comedy/ Drama,1.6,774,Chakri Toleti,Richard Harris,Jasmine Kaur,Sonakshi Sinha,350000000,125600000
yaariyan,2014,145,Romance/ Drama,2.7,35,Divya khosla kumar,himansh kohli,serah singh,dev sharma,100000000,550000000
Yamla Pagla Deewana 2,2013,154,Action/ Comedy,3.4,"1,820",Sangeeth Sivan,Dharmendra,Sunny Deol,Bobby Deol,460000000,490000000
Yamla Pagla Deewana Phir Se,2018,145,Action/ Comedy/ Drama,4.5,"1,100",Navaniat Singh,Dharmendra,Sunny Deol,Bobby Deol,360000000,150000000
Yaraana,1995,125,Action/ Drama/ Musical,4.7,344,David Dhawan,Rishi Kapoor,Madhuri Dixit,Raj Babbar,50000000,90000000
Yeh Dillagi,1994,155,Comedy/ Drama/ Musical,6,"4,348",Naresh Malhotra,Akshay Kumar,Kajol,Saif Ali Khan,16000000,108000000
Yeh Hai Jalwa,2002,165,Comedy/ Drama/ Romance,4.7,"2,443",David Dhawan,Salman Khan,Rishi Kapoor,Ameesha Patel,80000000,110000000
Yeh Hai Mumbai Meri Jaan,1999,148,Action/ Comedy/ Romance,4.4,263,Mahesh Bhatt,Saif Ali Khan,Twinkle Khanna,Chunky Panday,35000000,50000000
Yeh Jawaani Hai Deewani,2013,160,Drama/ Musical/ Romance,7.1,"39,863",Ayan Mukherjee,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,400000000,3196000000
Yeh Lamhe Judaai Ke,2004,135,Drama/ Mystery/ Romance,3.7,"1,636",Pavan Kaul,Birendra Nath Tiwari,Shah Rukh Khan,Raveena Tandon,10000000,20000000
Yeh Raaste Hain Pyaar Ke,2001,149,Action/ Drama/ Romance,4.1,685,Deepak S. Shivdasani,Ajay Devgn,Madhuri Dixit,Preity Zinta,85000000,157000000
Yes Boss,1997,163,Comedy/ Drama/ Musical,6.8,"12,714",Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Aditya Pancholi,50000000,229600000
Zanjeer,2013,137,Action/ Crime/ Drama,3.2,"2,416",Apoorva Lakhia,Sanjay Dutt,Priyanka Chopra Jonas,Ram Charan,600000000,1050000000
Zero,2018,164,Comedy/ Drama/ Romance,5.4,"24,784",Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,2000000000,1910000000
Zindagi Na Milegi Dobara,2011,155,Comedy/Drama,8.1,"75,804",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Katrina Kaif,600000000,1530000000
